date,soc_start_kwh,soc_end_kwh,emergency_kwh,emergency_cost_yuan
2025-11-27,8400.000000000002,8400.000000000011,276.58837471189963,1111.4057893189124
2025-11-28,8400.000000000011,8700.0,290.5675559415713,1328.2176080789802
2025-11-29,8700.0,8700.0,2137.630565547158,6804.072508443478
2025-11-30,8700.0,8700.000000000002,935.3819566418528,3570.513973752894
2025-12-01,8700.000000000002,8700.000000000002,4840.6835027043035,18136.565534985475
2025-12-02,8700.000000000002,8700.0,5147.263015676872,19973.979025279306
2025-12-03,8700.0,8700.0,2944.497041104093,9537.206536806418
2025-12-04,8700.0,8700.0,2087.8246094307515,8064.764113465116
2025-12-05,8700.0,8700.000000000002,969.1326988513515,3590.182045223294
2025-12-06,8700.000000000002,8700.000000000002,1639.2561831321777,5153.71485350393
2025-12-07,8700.000000000002,8700.000000000004,555.6661032767473,2087.742037903362
2025-12-08,8700.000000000004,8700.0,200.3800772413669,864.2972293542005
2025-12-09,8700.0,8700.000000000002,219.35804489970434,1058.579450815868
2025-12-10,8700.000000000002,8700.000000000002,162.01194469667172,566.1025974725579
2025-12-11,8700.000000000002,8700.0,140.940007224635,476.82346294916493
2025-12-12,8700.0,8700.0,410.1092244524639,1298.18859917279
2025-12-13,8700.0,8700.0,130.7498558550928,639.5236458356055
2025-12-14,8700.0,8700.0,171.12860449307317,742.1591435859424
2025-12-15,8700.0,8700.0,120.3160060289888,386.32754204007995
2025-12-16,8700.0,8700.000000000002,36.80423923542503,79.28634480339328
2025-12-17,8700.000000000002,8700.000000000002,131.1759431109358,686.727114387709
2025-12-18,8700.000000000002,8700.0,113.39247129227613,281.5321774426686
2025-12-19,8700.0,8700.000000000002,214.50858495290697,967.7930988920151
2025-12-20,8700.000000000002,8700.0,60.17360344876205,286.6076721037158
2025-12-21,8700.0,8700.0,376.82537375876456,1267.8169611332971
2025-12-22,8700.0,8700.0,158.3388601122332,738.2661505870087
2025-12-23,8700.0,8700.000000000002,44.099278400353285,202.52311869026542
2025-12-24,8700.000000000002,8700.0,190.11373589476062,908.9380671105952
2025-12-25,8700.0,8700.000000000002,391.55356365029246,1255.1153752574676
2025-12-26,8700.000000000002,8700.0,246.25867713703013,892.655668515759
2025-12-27,8700.0,8700.0,198.6719036104369,809.4721078012985
2025-12-28,8700.0,8700.0,164.95533495854818,734.8337348238533
2025-12-29,8700.0,8700.000000000004,169.68832474479717,688.203229639018
2025-12-30,8700.000000000004,8700.0,61.494082197846,292.9468180758421
2025-12-31,8700.0,6000.000000000002,577.2529637367704,2266.2850233460417
