date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-05-27,evaluation,24,39944.58503812831,38275.8173693669,38275.8173693669,1200.0000000000014,1200.0000000000002,0.01805040001636371,7.275957614183426e-11
2025-05-28,evaluation,24,39346.170228136754,37613.744213076556,37613.744213076556,1200.0000000000055,1200.0000000000018,0.017393199988873675,2.9103830456733704e-11
2025-05-29,evaluation,24,39633.91500016278,37666.362773447385,37666.362773447385,1200.000000000003,1200.000000000001,0.01845189998857677,4.3655745685100555e-11
2025-05-30,evaluation,24,16197.595279398662,15321.028932918094,15321.028932918094,1200.000000000004,1200.0000000000032,0.014500299992505461,1.6370904631912708e-11
2025-05-31,evaluation,24,16429.940400588945,15593.570520377889,15593.570520377889,1200.0000000000005,1199.9999999999998,0.014273099979618564,7.275957614183426e-12
2025-06-01,evaluation,24,40710.65566976468,39006.32874296029,39006.32874296029,1200.0,1200.0,0.016351999976905063,4.3655745685100555e-11
2025-06-02,evaluation,24,41648.0626517253,39947.02114989607,39947.02114989607,1200.000000000003,1200.0,0.016619499976513907,2.1827872842550278e-11
2025-06-03,evaluation,24,42390.478687049064,40426.377049105424,40426.377049105424,1200.0000000000014,1200.000000000001,0.016377400024794042,0.0
2025-06-04,evaluation,24,46294.58174511829,42268.70431044598,42268.70431044598,1200.0000000000018,1200.0000000000036,0.01892450000741519,2.1827872842550278e-11
2025-06-05,evaluation,24,49394.071860492564,44442.9129232609,44442.9129232609,1200.0000000000002,1200.000000000001,0.020969900011550635,2.1827872842550278e-11
2025-06-06,evaluation,24,20634.48437335004,18412.994692955006,18412.994692955006,1199.9999999999975,1199.9999999999993,0.017732499982230365,2.1827872842550278e-11
2025-06-07,evaluation,24,22240.54953425317,19784.573864379192,19784.573864379192,1200.0000000000025,1200.0000000000018,0.019848500000080094,3.637978807091713e-12
2025-06-08,evaluation,24,58384.36621800903,54900.76027932279,54900.76027932279,1200.000000000003,1200.0000000000018,0.01753480001934804,3.637978807091713e-11
2025-06-09,evaluation,24,58359.17238697757,55482.824984300816,55482.824984300816,1200.0000000000011,1200.0000000000036,0.01643690001219511,3.637978807091713e-11
2025-06-10,evaluation,24,59151.061001520146,56585.34065080157,56585.34065080157,1199.9999999999993,1200.0,0.018499700003303587,7.275957614183426e-12
2025-06-11,evaluation,24,59432.96266736624,56866.33902644832,56866.33902644832,1199.9999999999993,1200.0,0.020981299981940538,2.9103830456733704e-11
2025-06-12,evaluation,24,60218.412936078006,57699.61738759855,57699.61738759855,1199.9999999999993,1200.0,0.019608000002335757,3.637978807091713e-11
2025-06-13,evaluation,24,27611.751243271803,25757.19782843982,25757.19782843982,1199.999999999999,1199.9999999999982,0.01741939998464659,1.0913936421275139e-11
2025-06-14,evaluation,24,27633.863131309186,25820.80290617814,25820.80290617814,1200.0000000000027,1200.0000000000036,0.01818819998879917,1.8189894035458565e-11
2025-06-15,evaluation,24,61658.20207719728,59208.44414342779,59208.44414342779,1199.9999999999957,1200.0,0.019697500014444813,5.820766091346741e-11
2025-06-16,evaluation,24,62180.39983328316,59736.66544013472,59736.66544013472,1199.9999999999993,1200.0,0.016421599983004853,3.637978807091713e-11
2025-06-17,evaluation,24,62313.964523859366,59860.722176819465,59860.722176819465,1199.9999999999993,1200.0,0.017911799979628995,2.9103830456733704e-11
2025-06-18,evaluation,24,61881.54498289446,59510.88293384576,59510.88293384576,1200.0000000000011,1200.0,0.019663400016725063,7.275957614183426e-12
2025-06-19,evaluation,24,60568.290607219795,57841.835288521586,57841.835288521586,1199.9999999999993,1200.0,0.015881799976341426,1.4551915228366852e-11
2025-06-20,evaluation,24,27145.598720391463,24990.339425241065,24990.339425241065,1199.9999999999995,1200.0000000000014,0.018746400019153953,2.9103830456733704e-11
2025-06-21,evaluation,24,26537.5310990378,24279.13094325698,24279.13094325698,1200.0000000000005,1200.0,0.01618820001021959,1.0913936421275139e-11
2025-06-22,evaluation,24,58589.999586862454,55353.648975082484,55353.648975082484,1199.9999999999993,1200.0,0.01651549999951385,3.637978807091713e-11
2025-06-23,evaluation,24,56389.268903308766,53541.03299338471,53541.03299338471,1199.9999999999993,1200.0,0.016587099991738796,1.4551915228366852e-11
2025-06-24,evaluation,24,54105.346429441845,51529.04676647452,51529.04676647452,1200.0000000000011,1200.0,0.0167852999875322,4.3655745685100555e-11
2025-06-25,evaluation,24,54224.91245217776,51597.280194936924,51597.280194936924,1200.0000000000011,1200.0000000000036,0.017593800002941862,7.275957614183426e-12
2025-06-26,evaluation,24,54150.51998698707,51601.74443690094,51601.74443690094,1199.9999999999993,1200.0,0.01660599999013357,3.637978807091713e-11
2025-06-27,evaluation,24,22956.25802219046,21232.40485166608,21232.40485166608,1199.9999999999968,1200.0,0.015908800007309765,2.9103830456733704e-11
2025-06-28,evaluation,24,22658.98906974798,21049.25663053202,21049.25663053202,1200.0000000000011,1200.0000000000005,0.016192799987038597,7.275957614183426e-12
2025-06-29,evaluation,24,54509.05135894811,51536.26335477595,51536.26335477595,1199.9999999999998,1200.0,0.018702900008065626,7.275957614183426e-12
2025-06-30,evaluation,24,54163.13140461592,51230.299793412436,51230.299793412436,1199.9999999999993,1200.0,0.018283800018252805,2.9103830456733704e-11
2025-07-01,evaluation,24,54042.06929633859,51031.588244656334,51031.588244656334,1199.9999999999975,1200.0,0.0190788000181783,2.9103830456733704e-11
2025-07-02,evaluation,24,52653.215668553195,49646.11283050676,49646.11283050676,1199.9999999999993,1200.0,0.016567799990298226,3.637978807091713e-11
